카테고리	유전질환명	disease
다기관	질식성흉곽 이형성증	Jeunes syndrome
다기관	치명적 선천성 구축증후군 2	Lethal Congenital Contracture Syndrome 2
다기관	쇼그렌-라손 증후군	Sjogren-Larsson syndrome
다기관	앤틀리-빅슬러 증후군  	Antley-Bixler  syndrome
다기관	알파 지중해빈혈 X-염색체 연관 정신지체 증후군	Alpha Thalassemia X-linked Mental Retardation Syndrome
다기관	영아간부전 증후군 1형	Infantile liver failure syndrome type 1/LARS
다기관	엘러스단로스 증후군	Ehlers-Danlos  syndrome
다기관	코헨증후군	Cohen syndrome
다기관	선천성다발성관절구축증	Arthrogryposis multiplex congenita
다기관	치사성 다발성 익상편 증후군	Multiple Pterygium syndrome, Lethal type
다기관	린치 증후군	Lynch syndrome
다기관	에스코바 증후군	Escobar syndrome
다기관	초장쇄 acyl-CoA 탈수소효소 결핍증	Very long-chain acyl-CoA dehydrogenase deficiency
다기관	리씨 증후군	Leigh syndrome
다기관	뮤코지질증	Mucolipidosis
다기관	선상골병증-두개경화증	Osteopathia striata with cranial sclerosis
다기관	유전성 아밀로이드증	Hereditary amyloidosis
다기관	아이카디-구티에레스 증후군	Aicardi-Goutieres syndrome
다기관	리 프라우메니 증후군	Li-Fraumeni syndrome
다기관	Renpenning 증후군	Renpenning syndrome
다기관	바르데 비들 증후군 2	Bardet-Biedl syndrome 2
다기관	척추, 심장, 신장 및 사지 결함 증후군 3형	verterbral cardiac renal and limb defects syndrome 3
다기관	위커-울프 증후군	Wieacker Wolff syndrome
다기관	다발성 내분비샘 종양 1형	Multiple Endocrine Neoplasia type 1
다기관	상염색체열성 피부 이완증 IC형	Cutis laxa, autosomal recessive, type IC
다기관	Au-Kline 증후군	Au-Kline syndrome
다기관	어셔 증후군 IIA형	Usher syndrome, type 2A
다기관	AMED 증후군	AMED syndrome
다기관	다지증을 동반하거나 동반하지 않는 짧은늑골 흉부형성이상 3	Short-rib thoracic dysplasia 3 with or without polydactyly
다기관	스쿠알렌 합성효소 결핍증	Squalene synthase deficiency
다기관	골린증후군	Gorlin syndrome
다기관	아가미-눈-얼굴증후군	Branchiooculofacial syndrome
다기관	맥락망막병증을 동반한 소두증 상염색체 열성	Microcephaly and chorioretinopathy, autosomal recessive, 1
다기관	제한 피부병증	Restrictive dermopathy 1
다기관	카우덴 증후군	Cowden syndrome 1
면역계	무감마글로불린혈증	Agammaglobulinemia
면역계	만성육아종병	Chronic granulomatous disease
면역계	중증 복합 면역결핍 장애	Severe combined  immunodeficiency disorder
면역계	고IgM 증후군	HyperIgM syndrome
면역계	NEMO 결핍 증후군	NEMO deficiency syndrome
면역계	유전성 혈관부종	Hereditary  angioedema
면역계	제1형 자가면역성 다선 증후군	Autoimmune polyendocrine syndrome type1
면역계	IPEX 증후군	Immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndorme, IPEX
면역계	크라이오피린 연관 주기 발열 증후군	Cryopyrin associated periodic fever syndrome, CAPS
소화기계	가족성 선종성 용종증	Familial adenomatous polyposis coli
소화기계	제1형 진행성 가족성 간내담즙정체증	Progressive familial intrahepatic cholestasis 1
순환기/호흡기계	낭성 섬유증	Cystic fibrosis
순환기/호흡기계	일차성폐고혈압	Primary pulmonary hypertension
순환기/호흡기계	알파-1 항트립신 결핍증	Alpha-1 antitrypsin deficiency
순환기/호흡기계	선천성 중추 저환기 증후군	Congenital central hypoventilation syndrome
순환기/호흡기계	폐포모세혈관이형성증	Congenital alveolar dysplasia, Alveolar capillary dysplasia
순환기/호흡기계	뇌석회화를 동반한 Rajab 간질성 폐질환	Rajab interstitial lung disease with brain calcifications, RILDBC2
순환기/호흡기계	LMNA이상에 의한 확장성 심근병증	LMNA-related dilated cardiomyopathy
순환기/호흡기계	TPM1연관 확장성 심근병증	TPM1-related Dilated cardiomyopathy
